辽宁移动直播测试（支持回看与时移）,#genre#
CCTV12高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226183/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226736/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227343/index.m3u8
CCTV13高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226729/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227333/index.m3u8
CCTV14高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226182/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226720/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227349/index.m3u8
CCTV15高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226796/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227361/index.m3u8
CCTV16高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227074/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227346/index.m3u8
CCTV17高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226841/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226869/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227352/index.m3u8
CCTV5+高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226745/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227236/index.m3u8
辽宁卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226156/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226689/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226731/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227242/index.m3u8
辽宁都市高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226760/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227355/index.m3u8
辽宁北方高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226755/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227327/index.m3u8
辽宁公共高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226766/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227224/index.m3u8
辽宁教育青少高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226763/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227297/index.m3u8
辽宁经济高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226735/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227322/index.m3u8
辽宁生活高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226761/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227319/index.m3u8
辽宁影视剧高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226738/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227331/index.m3u8
辽宁体育休闲高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226764/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227334/index.m3u8
辽宁宜家购物高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226884/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227309/index.m3u8
辽宁移动电视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226982/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227328/index.m3u8
安徽卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226746/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227233/index.m3u8
北京卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226195/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226666/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226724/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227340/index.m3u8
东方卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226187/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226697/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226733/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227212/index.m3u8
东南卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226784/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227472/index.m3u8
广东卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226167/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226686/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226743/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227318/index.m3u8
广西卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226830/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227411/index.m3u8
贵州卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226874/index.m3u8
海南卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226801/index.m3u8
河北卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226774/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227408/index.m3u8
河南卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226791/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227353/index.m3u8
黑龙江卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226145/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226749/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227288/index.m3u8
湖北卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226705/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227230/index.m3u8
湖南卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226144/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226669/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226727/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227316/index.m3u8
吉林卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227163/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227310/index.m3u8
江苏卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226160/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226672/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226902/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227303/index.m3u8
江西卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226788/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227475/index.m3u8
山东卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226739/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227312/index.m3u8
深圳卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226136/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226725/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227239/index.m3u8
四川卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226728/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227245/index.m3u8
天津卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226742/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227306/index.m3u8
云南卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226816/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227356/index.m3u8
浙江卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226134/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226700/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226795/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227313/index.m3u8
重庆卫视高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226737/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227227/index.m3u8
北京纪实科教高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226730/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227294/index.m3u8
家庭理财高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226754/index.m3u8
金鹰纪实高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226714/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227291/index.m3u8
金鹰卡通高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226845/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227300/index.m3u8
睛彩广场舞高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227423/index.m3u8
睛彩竞技高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227417/index.m3u8
睛彩篮球高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227478/index.m3u8
睛彩青少高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227420/index.m3u8
咪咕视频高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227296/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227299/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227302/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227305/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227308/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227311/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227314/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227317/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227320/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227323/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227326/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227366/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227369/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227372/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227375/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227378/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227381/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227384/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227387/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227390/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227393/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227406/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227409/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227412/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227430/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227433/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227436/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227439/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227442/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227445/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227448/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227451/index.m3u8
沈阳新闻综合高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226895/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227315/index.m3u8
新动漫高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226818/index.m3u8
CBA高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227381/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227409/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227412/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227439/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227451/index.m3u8
CCTV兵器科技高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227453/index.m3u8
CCTV第一剧场高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227444/index.m3u8
CCTV电视指南高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227374/index.m3u8
CCTV风云剧场高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227447/index.m3u8
CCTV风云音乐高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227502/index.m3u8
CCTV风云足球高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227377/index.m3u8
CCTV高尔夫网球高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227496/index.m3u8
CCTV怀旧剧场高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227499/index.m3u8
CCTV女性时尚高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227508/index.m3u8
CCTV世界地理,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227450/index.m3u8
CCTV央视台球高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227380/index.m3u8
CCTV央视文化精品高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227505/index.m3u8
CHC动作电影高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227432/index.m3u8
CHC家庭影院高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227368/index.m3u8
CHC影迷电影高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227490/index.m3u8
茶频道高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227371/index.m3u8
国学频道标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227435/index.m3u8
快乐垂钓高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227441/index.m3u8
梨园频道高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227362/index.m3u8
书画频道标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227493/index.m3u8
文物宝库高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227359/index.m3u8
武术世界高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227487/index.m3u8
移动云VR 4K,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227393/index.m3u8
先锋乒羽标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227365/index.m3u8
中央新影老故事标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227438/index.m3u8
CCTV1标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226179/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226759/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226976/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227010/index.m3u8
CCTV2标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226177/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226853/index.m3u8
CCTV3标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226201/index.m3u8
CCTV4标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226189/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226741/index.m3u8
CCTV5+标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226910/index.m3u8
CCTV5标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226200/index.m3u8
CCTV6标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226199/index.m3u8
CCTV7标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226188/index.m3u8
CCTV7标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226905/index.m3u8
CCTV8标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226197/index.m3u8
CCTV9标清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226173/index.m3u8
